subject,sentence,context,sentence_length,maxF0,minF0,F1,F2,F3,keyword,last_word_len
subj18_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3269.152,312.0554827,102.4274423,556.7218942,1625.15143,2750.378405,musical,892.046
subj18_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2534.887,312.8209575,180.4103463,977.0923216,1866.116909,2818.821491,wool,1231.984
subj18_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2473.828,361.896194,193.7536911,778.4433488,1631.307209,3152.591913,wool,1162.114
subj18_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2859.268,330.4168823,103.1362559,890.3629309,1547.556473,2810.314795,alumnus,601.017
subj18_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2859.97,342.5493706,169.0027092,721.2774564,1830.523399,2999.499228,alumnus,646.883
subj18_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2589.531,328.4533773,183.9097777,445.5525886,1621.421356,2883.834674,magnolia,924.071
subj18_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2703.622,354.9366335,183.4210613,830.1752164,1670.020182,3177.111809,magnolia,936.54
subj19_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2813.781,351.3991851,95.51119113,451.702437,1411.894096,3056.264243,magnolia,840.446
subj19_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2882.282,346.6831694,176.7571505,1227.526298,1548.270955,3265.299611,magnolia,964.273
subj19_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2813.781,302.4924282,188.182853,382.345703,2360.412769,2703.422025,alumnus,774.58
subj19_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2848.789,324.9109476,191.6112363,380.931249,2270.891502,2851.915494,alumnus,730.549
subj19_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2730.511,335.4841136,188.6951724,838.7626323,1678.579183,2652.063865,wool,1195.722
subj19_shorten_mono,all-Genwoollining-Topwonrbe-Negpast,not > all,2595.33,387.5962814,93.36427697,849.4735012,1762.463116,3259.081239,wool,1378.133
subj19_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3124.667,327.5744469,186.4880443,398.8854917,2021.629956,2937.582883,musical,1153.967
subj19_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,3350.937,345.1313293,186.0764755,686.6590039,1652.413783,3013.717803,musical,1237.966
subj19_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3185.592,353.8867194,175.4713744,760.8448857,1739.989875,2792.575249,eyeliner,1120.045
subj19_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3486.396,355.8364588,84.32328576,568.5161214,1932.024334,2296.403912,eyeliner,999.309
subj1_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2474.231,345.9133079,102.5435497,1018.946537,1273.11167,3094.022638,magnolia,697.504
subj1_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2277.078,252.893649,91.72868013,639.4394762,1309.380334,2620.959081,magnolia,711.615
subj1_shorten_mono,Liam-Topmany-Genalumni-Accknownot,most/many > not,2205.215,232.8255914,72.55869418,426.8490417,1158.870047,2714.396387,alumnus,575.682
subj1_shorten_mono,Liam-Topmany-Genalumni-Accknownot,not > most/many,2658.572,238.6318884,47.52976201,641.7486132,1169.291957,2723.527797,alumnus,572.435
subj1_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2469.126,252.8732489,102.0376891,974.5400729,1377.491813,2770.35329,wool,1184.804
subj1_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2405,252.2471902,100.5353653,959.5009708,1953.92137,2998.049433,wool,1136.268
subj1_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2700.006,282.5230101,91.23135007,472.5069035,1693.752845,2628.106333,musical,813.756
subj1_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2445.508,262.7646722,91.85779647,427.555563,1782.391323,3517.815869,musical,806.302
subj1_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,2932.068,228.6715581,85.62634373,919.1304454,1839.591463,2963.743303,eyeliner,861.016
subj1_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3030.046,261.0382365,49.25582543,1053.664796,2064.790249,3438.335278,eyeliner,879.588
subj20_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,2943.541,301.118936,185.9914954,824.368025,1460.169285,3142.559147,eyeliner,985.434
subj20_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3428.399,305.5213104,194.178731,687.0527025,1895.691794,2629.450584,eyeliner,1057.894
subj20_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2815.176,283.6745081,197.2406296,307.835079,2106.309802,3225.317713,musical,989.944
subj20_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2822.66,286.7783655,184.7371897,477.8542058,2142.626641,3233.868447,musical,1008.908
subj20_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2277.83,301.3351091,199.2762416,792.4229657,1962.308514,3021.99678,wool,1304.635
subj20_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2384.818,307.6799309,199.6701167,712.7112825,1860.88448,2873.431753,wool,1441.878
subj20_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2385.788,278.9597381,196.3605209,386.1868272,1993.092307,3019.60078,alumnus,714.648
subj20_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2488.412,291.5501481,197.6302262,290.9118482,1990.146106,3055.381682,alumnus,784.744
subj20_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2789.298,285.2210844,195.6319472,1102.024801,1432.006723,3243.829095,magnolia,1077.498
subj20_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,3041.392,311.561736,197.4421317,1349.352385,1428.488751,3331.186017,magnolia,1158.513
subj21_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,2986.64,326.6827018,170.4014718,315.1183479,1982.627243,2715.445718,eyeliner,1043.791
subj21_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3223.83,367.5897101,165.5324788,791.3002026,1683.721736,2581.122951,eyeliner,1026.731
subj21_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2814.202,301.6691495,185.0107969,485.5934839,2084.671191,2737.339387,musical,867.136
subj21_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2612.047,349.2097707,191.4490251,459.1459581,2063.086411,2674.327522,musical,946.934
subj21_shorten_mono,all-Genwoollining-Topworn be-Negpast,not > all,2279.729,365.8197072,176.580424,505.1465596,1359.531745,2730.192809,wool,1197.647
subj21_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2191.779,377.9403183,173.3489523,462.4769866,1795.130651,3165.957686,wool,1290.874
subj21_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2383.294,347.1546236,181.8924737,539.6247246,1436.115947,2857.624947,alumnus,622.423
subj21_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2343.724,392.252148,196.0145933,501.0428467,1928.61668,2719.855166,alumnus,726.489
subj21_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2380.067,382.1732267,178.4715966,887.2892842,1998.538417,3280.395585,magnolia,895.828
subj21_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2432.323,412.1332485,138.024028,529.7190178,1521.429819,2661.569837,magnolia,841.687
subj22_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3345.992,225.3052974,58.2064717,621.6088565,1771.337121,2647.401461,eyeliner,913.175
